,group4,shh,shh,shh,group4,group3,group3,shh,group3,group4,group3,group4,group4,wnt,group4,group4,group4,shh,shh,wnt,group4,shh,group4,group4,shh,group3
miR-1238-3p,9.00E-06,7.56E-05,5.88E-05,0.00024016,4.56E-05,2.97E-05,9.43E-05,3.76E-05,0.000215337,2.27E-05,2.94E-05,9.65E-05,1.69E-05,0.000156393,0.0001209,7.15E-05,3.47E-05,8.43E-05,0.000235544,0.000136683,1.53E-05,0.000134152,5.59E-05,7.15E-05,0.000257658,0.000104752
miR-1238-5p,0,2.36E-05,2.35E-05,8.73E-06,3.58E-05,7.42E-06,2.36E-05,1.64E-05,8.37E-05,0,3.10E-06,1.84E-05,7.24E-06,0.000131699,1.40E-05,7.15E-06,1.83E-05,5.27E-06,9.61E-05,1.00E-05,0,1.07E-05,0.00014527,9.93E-05,9.97E-05,8.20E-05
miR-1243,3.00E-06,4.72E-06,1.41E-05,4.37E-06,1.63E-05,1.24E-05,6.74E-06,1.17E-05,5.38E-05,0,0,6.89E-05,4.83E-06,1.65E-05,1.40E-05,1.79E-05,1.83E-06,7.90E-06,2.88E-05,3.33E-06,0,5.90E-05,2.79E-05,1.19E-05,5.82E-05,0.000109306
miR-124-3p,0.164963941,0.17169436,0.186039669,0.085440191,0.168344326,1,0.098908057,0.017341502,0.103977749,0.097076191,1,0.651566024,0.136942575,0.154894682,0.307300991,0.307290345,0.15115371,0.091491419,0.125496926,0.057783601,0.22911214,0.078484192,0.360118898,0.361843804,0.48743917,0.579212723
miR-1244,0.001874147,0.011107384,0.009311281,0.031731685,0.009431137,0.006126623,0.009555341,0.011032087,0.035135782,0.002160835,0.001433333,0.00798284,0.002692203,0.00490991,0.028486001,0.007019776,0.003167514,0.005791663,0.018809877,0.010657946,0.005021018,0.0129698,0.010163317,0.005526486,0.011777467,0.025778009
miR-1245b-3p,0,4.72E-06,0,0,0,0,0,0,5.98E-06,0,0,0,0,8.23E-06,0,0,0,0,0,0,3.05E-06,0,0,0,0,4.55E-06
miR-124-5p,0.001190458,0.001814222,0.002047729,0.000755412,0.00211932,0.004922075,0.000868974,0.000549257,0.00208757,0.000811889,0.006985368,0.004988127,0.00087889,0.002181267,0.004064114,0.002602035,0.001057057,0.001030273,0.003379337,0.000880106,0.001903472,0.001185902,0.003190354,0.003226101,0.001882566,0.00446333
miR-1247-3p,1.50E-05,8.98E-05,8.24E-05,0.000104797,9.77E-05,3.96E-05,0.000117884,5.16E-05,0.000334968,7.56E-06,1.55E-05,0.000137794,0,0.00010289,3.72E-05,6.08E-05,2.74E-05,3.16E-05,0.000158632,7.33E-05,9.15E-06,2.15E-05,0.000340826,0.000198652,0.000241035,0.000186731
miR-1247-5p,1.80E-05,0.00065671,0.000122393,0.000152829,5.86E-05,7.42E-06,6.06E-05,0.000532826,9.57E-05,1.26E-05,9.30E-06,0.000156166,1.93E-05,0.000255167,6.05E-05,4.65E-05,2.19E-05,0.000126479,0.000307649,0.000713419,6.10E-06,0.000257572,3.35E-05,0.000190705,0.0012592,0.000191286
miR-1249,0.001172467,0.000477178,0.001664074,0.000895142,0.00175145,0.000368537,0.000612997,0.000171349,0.000783587,0.00052445,0.000221586,0.001327411,0.000659167,0.000415675,0.00279466,0.001236682,0.000839428,0.000432135,0.001648809,0.00033004,0.001064602,0.001041018,0.001642669,0.001819648,0.007463772,0.001789886
